A_size, Bubble, Insertion, Selection, Merge, Quick, Counting
10000, 403143, 80180, 149384, 2041, 1684, 301
20000, 1627232, 580321, 579857, 5571, 2814, 443
30000, 3921502, 754860, 1303615, 7112, 4710, 796
40000, 6668857, 1293043, 2268414, 8268, 7941, 2203
50000, 10814630, 2067703, 3669423, 11059, 10663, 1527
60000, 15578818, 4999102, 5283715, 15327, 8874, 1396
70000, 21337426, 4039185, 7300198, 17748, 14060, 2268
80000, 29169008, 9356952, 9257077, 16982, 14732, 1967
90000, 36406466, 11640960, 11589935, 23766, 18641, 2275
100000, 44112398, 8269380, 14354502, 24480, 20984, 2646
