Taille de tableau, Bubble, Insertion, Selection, Merge, Quick, Counting
10000, 490460, 86870, 162309, 2073, 1709, 258
20000, 1619397, 320138, 584759, 4048, 3212, 457
30000, 3608965, 697414, 1315095, 6268, 5157, 745
40000, 6505212, 1242876, 2329753, 8506, 6925, 1240
50000, 10278473, 1944163, 3636674, 10786, 8731, 1557
60000, 14923371, 2796106, 5234951, 13198, 10639, 1911
70000, 20418838, 3824013, 7126820, 15633, 12757, 2280
80000, 26720956, 4991867, 9302065, 17931, 14908, 2674
90000, 33840740, 6327233, 11775776, 20338, 16740, 3030
100000, 41798547, 7778824, 14531157, 22683, 18600, 3389
